Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCBA","To put all the components since they are tiny",2,22.44,"https://jlcpcb.com","Jlc Pcb"
"PCB","To put the components on",5,4.00,"https://jlcpcb.com","Jlc PCB"
